fileName,Day,geoType,imageIndex,poreIndex,poreArea,porePerimeter,poreRadius,voidArea,voidPerimeter,voidRadius,voidNormalisedCoverage,voidNormalisedPerimeter,voidNormalisedRadius
"data\images\Day14\CRS500_3.tif",14,"CRS500",10,5,238939.138049665,1933.84840182648,234.004358342986,133932.987218782,1300.21369863014,198.987134882375,0.560531808694074,0.672345204206343,0.850356533063863
"data\images\Day14\CRS500_3.tif",14,"CRS500",10,6,246205.875607264,1957.35890410959,245.820200088497,144043.702174684,1365.57534246575,171.273649462386,0.585053877448706,0.697662211870622,0.696743593084404
"data\images\Day14\CRS500_3.tif",14,"CRS500",10,7,227346.385604971,1881.95433789954,230.394273876404,116720.668876796,1216.05296803653,180.828236196607,0.513404550356941,0.646164969865194,0.784864281364966
"data\images\Day14\CRS500_7.tif",14,"CRS500",11,1,238468.142412255,1915.36513761468,241.120184337422,129611.143843111,1299.28532110092,176.434052294292,0.543515551100507,0.678348632114604,0.731726598414472
"data\images\Day14\CRS500_8.tif",14,"CRS500",12,1,239937.449177457,1933.64383561644,239.275299906183,40439.5237797377,718.587214611872,105.218458693846,0.168541942570327,0.371623357609075,0.439738070478236
"data\images\Day14\CRS500_8.tif",14,"CRS500",12,2,232750.776672713,1902.5497716895,238.34168273902,40883.2176143116,723.495890410959,89.6257290502743,0.175652335939572,0.380276984695376,0.376038836431364
"data\images\Day14\CRS500_8.tif",14,"CRS500",12,3,231432.2053335,1890.93333333333,239.120039666365,70276.2661328996,947.793607305936,135.142808877639,0.303658110294674,0.501230577830667,0.565167223400424
"data\images\Day14\CRS500_8.tif",14,"CRS500",12,4,219349.888451033,1836.81095890411,229.808669617392,49024.8326765497,788.493150684931,104.316000257121,0.223500604548946,0.429272891073868,0.453925434714001
"data\images\Day14\CRS500_8.tif",14,"CRS500",12,5,216676.049290048,1831.19269406393,228.184799946076,30106.9619065491,619.698630136986,86.2902776576151,0.138949191685912,0.338412572388383,0.378159621841625
"data\images\Day5\Geo_2.tif",5,"Geo",1,1,174492.608577803,1918.78173515982,108.145915331949,139254.811200767,1893.06118721461,70.0756076432797,0.798055644509872,0.986595375871106,0.64797276372562
"data\images\Day5\Geo_2.tif",5,"Geo",1,2,212243.280999145,2014.21369863014,136.561851560966,180328.183315611,1939.10593607306,80.1493780496464,0.849629644183351,0.962711125136246,0.586908987638212
"data\images\Day5\Geo_2.tif",5,"Geo",1,3,214078.93913805,1984.07579908676,139.167514713747,184403.994912533,1926.15342465753,123.49648996735,0.861383168540552,0.970806370172004,0.887394520347432
"data\images\Day7\LWV500_1.tif",7,"LWV500",6,1,244148.640686811,2251.4504587156,112.430842235236,193089.807255282,1951.52935779817,107.842511608006,0.790869884477356,0.866787608069987,0.959189751352842
"data\images\Day25\LWV500_1.tif",25,"LWV500",16,1,232466.964060264,2215.06972477064,122.906427019398,21772.5780658194,525.759633027523,66.2184014768179,0.0936588050428322,0.237355793882273,0.538770860748942
"data\images\Day7\SWV500_1.tif",7,"SWV500",7,1,212424.880060601,2235.93577981651,99.2893619729324,161022.641191819,1784.6,95.5036758238874,0.7580215704765,0.798144569316051,0.961872187777004
"data\images\Day7\SWV500_1.tif",7,"SWV500",7,2,241850.0126252,2253.42660550459,117.915425960563,174598.097803215,1789.46972477064,112.661514935745,0.721927180850694,0.794110498384723,0.955443395280823
"data\images\Day14\SWV500_1.tif",14,"SWV500",13,1,255915.326992677,2294.54220183486,126.255463880147,16262.9408298965,454.519266055046,28.7671958687982,0.0635481314113,0.198087124172998,0.227849116265628
"data\images\Day14\SWV500_3.tif",14,"SWV500",14,1,241839.070785287,2358.63394495413,113.296029987196,5364.86827708105,265.700917431193,16.8821247526314,0.0221836292194662,0.112650340676904,0.149008970169028
"data\images\Day14\SWV500_6.tif",14,"SWV500",15,1,219609.460483124,2157.00917431193,121.606907555928,24008.9218079286,555.591743119266,59.2912850908855,0.109325535225626,0.25757504869978,0.487565108615373
